timeseg,chrom,region,ID,Name,fullname,EntrezGene
Timepoint 1 --> 2,2L,2L:8041880-8042856,FBgn0031980,RpL36A,Ribosomal protein L36A,34098
Timepoint 1 --> 2,2L,2L:8043715-8054328,FBgn0031981,CG7466,,34099
Timepoint 1 --> 2,2L,2L:8054322-8071591,FBgn0011230,poe,purity of essence,46243
Timepoint 1 --> 2,2R,2R:123268-130444,FBgn0262117,CG17665,,3355010
Timepoint 1 --> 2,2R,2R:209942-358573,FBgn0260798,Gprk1,G protein-coupled receptor kinase 1,3355013
Timepoint 1 --> 2,2R,2R:434209-452786,FBgn0046692,Stlk,Ste20-like kinase,3355135
Timepoint 1 --> 2,2R,2R:482798-496995,FBgn0260799,p120ctn,Adherens junction protein p120,3355143
Timepoint 1 --> 2,2R,2R:579177-616515,FBgn0026401,Nipped-B,Nipped-B,3355136
Timepoint 1 --> 2,2R,2R:704674-711821,FBgn0261387,CG17528,,3355134
Timepoint 1 --> 2,2R,2R:716725-717440,FBgn0033000,CG14464,,3355132
Timepoint 1 --> 2,3L,3L:24067329-24292305,FBgn0011288,Snap25,Synapse protein 25,3355084
Timepoint 1 --> 2,3L,3L:24317967-24394755,FBgn0259697,nvd,neverland,5740633
Timepoint 1 --> 2,3R,3R:17851697-17853198,FBgn0038925,Cchl,Cytochrome c heme lyase,42590
Timepoint 1 --> 2,3R,3R:17855171-17857632,FBgn0038926,CG13409,,42592
Timepoint 1 --> 2,3R,3R:17860020-17864114,FBgn0025140,pit,pitchoune,42595
Timepoint 1 --> 2,3R,3R:21567070-21586044,FBgn0066101,LpR1,Lipophorin receptor 1,2768687
Timepoint 1 --> 2,3R,3R:21657971-21668287,FBgn0039378,alpha4GT2,alpha4GT2,43124
Timepoint 1 --> 2,3R,3R:21677376-21679727,FBgn0039379,CG5886,,43125
Timepoint 1 --> 2,3R,3R:21749221-21781992,FBgn0039396,CcapR,Cardioacceleratory peptide receptor,2768688
Timepoint 1 --> 2,3R,3R:21875453-21877979,FBgn0260946,exo84,,43163
Timepoint 1 --> 2,3R,3R:22287251-22295732,FBgn0039430,CG5455,,43196
Timepoint 1 --> 2,3R,3R:22295800-22360939,FBgn0039431,CG6490,,43197
Timepoint 1 --> 2,3R,3R:22362072-22429773,FBgn0263289,scrib,scribbled,44448
Timepoint 1 --> 2,3R,3R:22474353-22507688,FBgn0250908,beat-VII,beat-VII,43213
Timepoint 1 --> 2,3R,3R:22543570-22545529,FBgn0039450,CG5484,,43217
Timepoint 1 --> 2,3R,3R:22694960-22697738,FBgn0026562,BM-40-SPARC,BM-40-SPARC,43230
Timepoint 1 --> 2,3R,3R:22707456-22736719,FBgn0004359,T48,Transcript 48,43235
Timepoint 1 --> 2,3R,3R:22741488-22771031,FBgn0015541,sda,slamdance,44359
Timepoint 1 --> 2,3R,3R:27046426-27056645,FBgn0039831,CG12054,,43694
Timepoint 1 --> 2,3R,3R:27080864-27082388,FBgn0086362,spn-F,spn-F,43700
Timepoint 1 --> 2,3R,3R:27128211-27130962,FBgn0039840,CG11340,,43703
Timepoint 1 --> 2,3R,3R:27136896-27196498,FBgn0085376,CG34347,,5740668
Timepoint 1 --> 2,3R,3R:27221380-27227735,FBgn0019990,Gcn2,Gcn2,43709
Timepoint 1 --> 2,3R,3R:27230971-27283499,FBgn0261988,Gprk2,G protein-coupled receptor kinase 2,49045
Timepoint 1 --> 2,3R,3R:27324961-27332716,FBgn0039851,mey,morpheyus,43715
Timepoint 1 --> 2,3R,3R:27368754-27391887,FBgn0039852,nyo,nyobe,43716
Timepoint 1 --> 2,3R,3R:27494957-27503703,FBgn0039863,CG1815,,43730
Timepoint 1 --> 2,3R,3R:27539591-27561114,FBgn0003870,ttk,tramtrack,48317
Timepoint 1 --> 2,3R,3R:27562747-27563721,FBgn0039868,CG11563,,43735
Timepoint 1 --> 2,3R,3R:27564190-27569028,FBgn0000557,Ef1alpha100E,Elongation factor 1alpha100E,43736
Timepoint 1 --> 2,3R,3R:27570009-27570900,FBgn0039870,CG1896,,43738
Timepoint 1 --> 2,3R,3R:27570894-27571706,FBgn0000150,awd,abnormal wing discs,43739
Timepoint 1 --> 2,3R,3R:27572167-27573251,FBgn0261479,nero,nero,43740
Timepoint 1 --> 2,3R,3R:27571766-27576745,FBgn0022349,CG1910,,43741
Timepoint 1 --> 2,3R,3R:27577547-27580413,FBgn0039872,salt,salty dog,43742
Timepoint 1 --> 2,3R,3R:27581078-27584359,FBgn0017448,CG2187,,43743
Timepoint 1 --> 2,3R,3R:27585126-27587299,FBgn0039873,Smvt,Sodium-dependent multivitamin transporter,43744
Timepoint 1 --> 2,3R,3R:27595015-27597575,FBgn0039874,CG2135,,43746
Timepoint 1 --> 2,3R,3R:27602733-27616403,FBgn0005632,faf,fat facets,43749
Timepoint 1 --> 2,3R,3R:27615967-27619667,FBgn0039877,CG2118,,43750
Timepoint 1 --> 2,3R,3R:27619811-27625533,FBgn0027620,Acf1,ATP-dependent chromatin assembly factor large subunit,43751
Timepoint 1 --> 2,3R,3R:27625356-27630878,FBgn0250755,CG42233,,43754
Timepoint 1 --> 2,3R,3R:27638797-27670966,FBgn0039883,RhoGAP100F,RhoGAP100F,43758
Timepoint 1 --> 2,3R,3R:27676704-27819000,FBgn0011224,heph,hephaestus,48571
Timepoint 1 --> 2,X,X:6811593-6859825,FBgn0029922,CG14431,,31639
Timepoint 1 --> 2,X,X:6885645-6903902,FBgn0027106,inx7,innexin 7,33027
Timepoint 1 --> 2,X,X:7087109-7134453,FBgn0029939,CG9650,,31660
Timepoint 1 --> 2,X,X:7175122-7299793,FBgn0029941,CG1677,,31662
Timepoint 1 --> 2,X,X:7858057-7880118,FBgn0003447,sn,singed,31717
Timepoint 1 --> 2,X,X:7955680-7964270,FBgn0004657,mys,myospheroid,44885
Timepoint 2 --> 3,2L,2L:22515149-22649081,FBgn0058006,CG40006,,3355123
Timepoint 2 --> 3,2L,2L:22874534-22885080,FBgn0000384,cta,concertina,3355131
Timepoint 2 --> 3,2R,2R:14166570-14244766,FBgn0010575,sbb,scribbler,44027
Timepoint 2 --> 3,2R,2R:14270209-14270737,FBgn0034328,IM23,Immune induced molecule 23,37099
Timepoint 2 --> 3,2R,2R:14271457-14271883,FBgn0034329,IM1,Immune induced molecule 1,37100
Timepoint 2 --> 3,2R,2R:14272417-14273093,FBgn0034331,CG15067,,37102
Timepoint 2 --> 3,3L,3L:11387790-11388773,FBgn0036156,CG11726,,39275
Timepoint 2 --> 3,3L,3L:11480660-11490429,FBgn0036165,chrb,charybde,39284
Timepoint 2 --> 3,3L,3L:11506667-11512004,FBgn0036168,CG7512,,39289
Timepoint 2 --> 3,3L,3L:11515857-11555333,FBgn0259481,Mob2,Mob2,39293
Timepoint 2 --> 3,3L,3L:11555768-11557412,FBgn0036173,CG7394,,39294
Timepoint 2 --> 3,3L,3L:11565897-11567763,FBgn0053490,CG33490,,2768970
Timepoint 2 --> 3,3L,3L:11577222-11580867,FBgn0003292,rt,rotated abdomen,39297
Timepoint 2 --> 3,3L,3L:11590302-11598474,FBgn0036179,CG7368,,39301
Timepoint 2 --> 3,3L,3L:11598536-11602540,FBgn0036180,CG6091,,39302
Timepoint 2 --> 3,3L,3L:11603765-11613172,FBgn0036181,Muc68Ca,Mucin 68Ca,2768980
Timepoint 2 --> 3,3L,3L:11619540-11620820,FBgn0036184,PCID2,PCI domain-containing protein 2,39306
Timepoint 2 --> 3,3L,3L:11621170-11623099,FBgn0042138,CG18815,,59176
Timepoint 2 --> 3,3L,3L:11624495-11636004,FBgn0052091,CG32091,,39307
Timepoint 2 --> 3,3L,3L:11636043-11639133,FBgn0036186,CG6071,,39308
Timepoint 2 --> 3,3L,3L:11643600-11673440,FBgn0052085,CG32085,,39311
Timepoint 2 --> 3,3L,3L:11677084-11683255,FBgn0036191,Sug,Sug,39314
Timepoint 2 --> 3,3L,3L:11726689-11759282,FBgn0036202,CG6024,,39325
Timepoint 2 --> 3,3L,3L:11744405-11745574,FBgn0041231,Gr68a,Gustatory receptor 68a,39324
Timepoint 2 --> 3,3L,3L:11760399-11765244,FBgn0036203,Muc68D,Mucin 68D,39326
Timepoint 2 --> 3,3L,3L:11767160-11767601,FBgn0036204,Tim13,Tim13,39327
Timepoint 2 --> 3,3L,3L:11767750-11783108,FBgn0015278,Pi3K68D,Phosphotidylinositol 3 kinase 68D,39329
Timepoint 2 --> 3,3L,3L:11788710-11791980,FBgn0004381,Klp68D,Kinesin-like protein at 68D,39332
Timepoint 2 --> 3,3L,3L:11792044-11793956,FBgn0036208,CG10361,,39333
Timepoint 2 --> 3,3L,3L:11795185-11807855,FBgn0259140,CG42255,,39334
Timepoint 2 --> 3,3L,3L:11810083-11815375,FBgn0036211,CG5946,,39336
Timepoint 2 --> 3,3L,3L:11813428-11815375,FBgn0036212,CG11597,,39337
Timepoint 2 --> 3,3L,3L:11815952-11817311,FBgn0036213,RpL10Ab,Ribosomal protein L10Ab,39338
Timepoint 2 --> 3,3L,3L:11819818-11826695,FBgn0000404,CycA,Cyclin A,39340
Timepoint 2 --> 3,3L,3L:11843745-11856547,FBgn0085449,CG34420,,5740513
Timepoint 2 --> 3,3L,3L:11936748-11937946,FBgn0036225,CG5883,,39352
Timepoint 2 --> 3,3L,3L:13053622-13054494,FBgn0036343,CG14115,,39487
Timepoint 2 --> 3,3L,3L:13221789-13272742,FBgn0023095,caps,capricious,39493
Timepoint 2 --> 3,3L,3L:17463526-17467617,FBgn0036727,CG7589,,39949
Timepoint 2 --> 3,3L,3L:17473229-17479330,FBgn0036731,CG6333,,39953
Timepoint 2 --> 3,3L,3L:17553258-17612407,FBgn0000567,Eip74EF,Ecdysone-induced protein 74EF,39962
Timepoint 2 --> 3,3L,3L:17664722-17676266,FBgn0085280,CG34251,,5740860
Timepoint 2 --> 3,3L,3L:17683113-17741941,FBgn0052183,Ccn,Ccn,39972
Timepoint 2 --> 3,3L,3L:17785195-17791024,FBgn0261998,CG42816,,39977
Timepoint 2 --> 3,3L,3L:17795590-17797813,FBgn0036754,CG5589,,39979
Timepoint 2 --> 3,3L,3L:17851574-17853582,FBgn0054002,CG34002,,3885644
Timepoint 2 --> 3,3L,3L:17927132-17939214,FBgn0262793,CG43174,,NA
Timepoint 2 --> 3,3L,3L:18675334-18675955,FBgn0052202,CG32202,,326199
Timepoint 2 --> 3,3L,3L:18871350-18883582,FBgn0036821,CG3961,,40056
Timepoint 2 --> 3,3L,3L:18896053-18898117,FBgn0027057,CSN1b,COP9 complex homolog subunit 1 b,40063
Timepoint 2 --> 3,3L,3L:18915519-18939136,FBgn0052204,CG32204,,317913
Timepoint 2 --> 3,3L,3L:19052869-19055902,FBgn0036842,CG3797,,40079
Timepoint 2 --> 3,3L,3L:19135998-19228191,FBgn0016797,fz2,frizzled 2,40090
Timepoint 2 --> 3,3L,3L:19875151-19903309,FBgn0262519,Mi-2,,40170
Timepoint 2 --> 3,3L,3L:19932386-19971060,FBgn0004852,Ac76E,Adenylyl cyclase 76E,40180
Timepoint 2 --> 3,3L,3L:19995858-19997706,FBgn0036929,CG7668,,40190
Timepoint 2 --> 3,3L,3L:3024129-3026521,FBgn0004372,aly,always early,45960
Timepoint 2 --> 3,3L,3L:3035198-3040469,FBgn0035388,CG2162,,38360
Timepoint 2 --> 3,3L,3L:3042375-3044174,FBgn0040308,Jafrac2,thioredoxin peroxidase 2,53577
Timepoint 2 --> 3,3L,3L:3044105-3046810,FBgn0035390,scramb2,scramblase 2,38362
Timepoint 2 --> 3,3L,3L:3046956-3050161,FBgn0052484,Sk2,Sphingosine kinase 2,326219
Timepoint 2 --> 3,3L,3L:3050329-3051765,FBgn0052485,CG32485,,38363
Timepoint 2 --> 3,3L,3L:3715253-3806416,FBgn0052264,CG32264,,38438
Timepoint 2 --> 3,3L,3L:3907852-3909931,FBgn0035473,mge,maggie,38459
Timepoint 2 --> 3,3R,3R:1486359-1491168,FBgn0046222,CG1109,,40698
Timepoint 2 --> 3,3R,3R:1511854-1538559,FBgn0261261,plx,pollux,40704
Timepoint 2 --> 3,3R,3R:1584402-1606798,FBgn0027608,CG2082,,40713
Timepoint 2 --> 3,3R,3R:1688587-1765245,FBgn0083949,CG34113,,4379844
Timepoint 2 --> 3,3R,3R:1797870-1800967,FBgn0011281,Pbprp3,Pheromone-binding protein-related protein 3,40737
Timepoint 2 --> 3,3R,3R:2988551-3009424,FBgn0002306,sas,stranded at second,40861
Timepoint 2 --> 3,3R,3R:3359218-3362247,FBgn0261393,alpha-Est5,alpha-Esterase-5,40905
Timepoint 2 --> 3,3R,3R:3368466-3370952,FBgn0015570,alpha-Est2,alpha-Esterase-2,40908
Timepoint 2 --> 3,3R,3R:3371449-3374844,FBgn0015568,alpha-Est1,alpha-Esterase-1,40909
Timepoint 2 --> 3,3R,3R:3397848-3465156,FBgn0083963,CG34127,,40912
Timepoint 2 --> 3,3R,3R:3483971-3520596,FBgn0051146,Nlg1,Neuroligin 1,40913
Timepoint 2 --> 3,3R,3R:3573635-3575798,FBgn0037513,pyd3,pyd3,40916
Timepoint 3 --> 4,2L,2L:12205843-12312795,FBgn0000114,aret,arrest,34648
Timepoint 3 --> 4,2L,2L:12344381-12397528,FBgn0262475,bru-2,bruno-2,250811
Timepoint 3 --> 4,2L,2L:12356441-12357906,FBgn0032424,CG17010,,34650
Timepoint 3 --> 4,2L,2L:12398300-12402023,FBgn0041195,Pkd2,Polycystic kidney disease gene-2,34651
Timepoint 3 --> 4,2L,2L:12403270-12423421,FBgn0043841,vir-1,virus-induced RNA 1,34652
Timepoint 3 --> 4,2L,2L:12456577-12546630,FBgn0259176,bun,bunched,34665
Timepoint 3 --> 4,2L,2L:12587871-12628143,FBgn0085424,nub,nubbin,34669
Timepoint 3 --> 4,2L,2L:12657829-12686313,FBgn0004394,pdm2,POU domain protein 2,34673
Timepoint 3 --> 4,2L,2L:13216290-13219933,FBgn0032485,CG9426,,34719
Timepoint 3 --> 4,2L,2L:13232039-13233059,FBgn0032492,Prosalpha6T,Proteasome alpha6T subunit,34726
Timepoint 3 --> 4,2L,2L:13261010-13284043,FBgn0032497,CG6043,,34732
Timepoint 3 --> 4,2L,2L:13277376-13281617,FBgn0032498,CG6108,,34733
Timepoint 3 --> 4,2L,2L:13307814-13331100,FBgn0032504,CG16970,,34740
Timepoint 3 --> 4,2L,2L:13359901-13361527,FBgn0032507,CG9377,,34743
Timepoint 3 --> 4,2L,2L:14184478-14234108,FBgn0016930,smi35A,smell impaired 35A,34831
Timepoint 3 --> 4,2L,2L:14263522-14328262,FBgn0261563,wb,wing blister,43946
Timepoint 3 --> 4,2L,2L:14359218-14361411,FBgn0001970,Pgant35A,Polypeptide N-acetylgalactosaminyltransferase 35A,48775
Timepoint 3 --> 4,2L,2L:14390625-14409547,FBgn0004858,elB,elbow B,34844
Timepoint 3 --> 4,2L,2L:14615555-14618902,FBgn0000056,Adhr,Adh-related,3772432
Timepoint 3 --> 4,2L,2L:14615555-14618902,FBgn0000055,Adh,Alcohol dehydrogenase,3771877
Timepoint 3 --> 4,2L,2L:14599776-14689325,FBgn0003016,osp,outspread,34850
Timepoint 3 --> 4,2L,2L:14762765-14764065,FBgn0028838,CSN1a,COP9 complex homolog subunit 1 a,34857
Timepoint 3 --> 4,2L,2L:14907570-14972300,FBgn0259213,CG42313,,3346206
Timepoint 3 --> 4,2L,2L:16042032-16048626,FBgn0000182,BicC,Bicaudal C,34946
Timepoint 3 --> 4,2L,2L:16049995-16081688,FBgn0013433,beat-Ia,beaten path Ia,34947
Timepoint 3 --> 4,2L,2L:16264061-16287728,FBgn0001994,crp,cropped,34956
Timepoint 3 --> 4,2L,2L:16400169-16448465,FBgn0028523,CG5888,,34980
Timepoint 3 --> 4,2L,2L:16879517-16886323,FBgn0032618,CG31743,,326156
Timepoint 3 --> 4,2L,2L:16879517-16886323,FBgn0085342,CG34313,,5740766
Timepoint 3 --> 4,2L,2L:16888490-16917052,FBgn0261671,tweek,tweek,35026
Timepoint 3 --> 4,2L,2L:17647305-17752346,FBgn0015609,CadN,Cadherin-N,35070
Timepoint 3 --> 4,2L,2L:18160421-18275770,FBgn0261804,CG42750,,35094
Timepoint 3 --> 4,2L,2L:18614339-18616067,FBgn0032692,CG15161,,35114
Timepoint 3 --> 4,2L,2L:18617257-18661787,FBgn0032694,MESR3,Misexpression suppressor of ras 3,35116
Timepoint 3 --> 4,2L,2L:18762874-18787500,FBgn0045852,ham,hamlet,35135
Timepoint 3 --> 4,2L,2L:18813010-18813941,FBgn0040993,CG17325,,50467
Timepoint 3 --> 4,2L,2L:18813010-18813941,FBgn0259201,CG42305,,7354382
Timepoint 3 --> 4,2L,2L:18819344-18822573,FBgn0027074,CG17324,,35137
Timepoint 3 --> 4,2L,2L:18969032-18972004,FBgn0032728,Tango6,Transport and Golgi organization 6,35155
Timepoint 3 --> 4,2L,2L:19071131-19074146,FBgn0032753,CG17572,,35182
Timepoint 3 --> 4,2L,2L:19133806-19177972,FBgn0010300,brat,brain tumor,35197
Timepoint 3 --> 4,2L,2L:19183091-19183613,FBgn0040994,CG17567,,50468
Timepoint 3 --> 4,2L,2L:19186036-19189938,FBgn0010309,pigeon,pigeon,35200
Timepoint 3 --> 4,2L,2L:19190346-19208615,FBgn0015380,drl,derailed,44355
Timepoint 3 --> 4,2L,2L:20075757-20089698,FBgn0004374,neb,nebbish,35293
Timepoint 3 --> 4,2L,2L:20311219-20348386,FBgn0003475,spir,spire,45931
Timepoint 3 --> 4,2L,2L:20376983-20382355,FBgn0032856,CG16798,,35308
Timepoint 3 --> 4,2L,2L:20385293-20399394,FBgn0032857,CG10947,,35309
Timepoint 3 --> 4,2L,2L:20423185-20424599,FBgn0032860,CG15130,,35312
Timepoint 3 --> 4,2L,2L:20634557-20635167,FBgn0032868,CG17472,,35320
Timepoint 3 --> 4,2L,2L:20639015-20639578,FBgn0262688,CR43158,,NA
Timepoint 3 --> 4,2L,2L:20647533-20648848,FBgn0259936,Uhg3,Uhg3,3772557
Timepoint 3 --> 4,2L,2L:20659128-20675941,FBgn0051678,CG31678,,35327
Timepoint 3 --> 4,2L,2L:20678921-20681844,FBgn0032876,CG1962,,35330
Timepoint 3 --> 4,2L,2L:20683462-20714589,FBgn0014859,Hr38,Hormone receptor-like in 38,35332
Timepoint 3 --> 4,2L,2L:20734710-20750941,FBgn0262743,Fs(2)Ket,Female sterile (2) Ketel,35336
Timepoint 3 --> 4,2L,2L:20758147-20767536,FBgn0011202,dia,diaphanous,35340
Timepoint 3 --> 4,2L,2L:20770736-20783135,FBgn0000251,cad,caudal,35341
Timepoint 3 --> 4,2L,2L:20788659-20797040,FBgn0250785,vari,varicose,35343
Timepoint 3 --> 4,2L,2L:20797717-20814030,FBgn0032886,CG9328,,35344
Timepoint 3 --> 4,2L,2L:20965520-21051954,FBgn0250867,CG42238,,7354398
Timepoint 3 --> 4,2L,2L:21071009-21081053,FBgn0032911,tadr,torn and diminished rhabdomeres,35370
Timepoint 3 --> 4,2L,2L:21086900-21088730,FBgn0053508,ppk13,pickpocket 13,3346226
Timepoint 3 --> 4,2L,2L:21091241-21094864,FBgn0032914,CG14397,,8674022
Timepoint 3 --> 4,2L,2L:21094961-21102392,FBgn0032915,CG12050,,35374
Timepoint 3 --> 4,2L,2L:21096922-21098932,FBgn0083972,CG34136,,4379892
Timepoint 3 --> 4,2L,2L:21104599-21134255,FBgn0040297,Nhe2,Na[+]/H[+] hydrogen exchanger 2,35376
Timepoint 3 --> 4,2L,2L:21133941-21142353,FBgn0023388,Dap160,Dynamin associated protein 160,35378
Timepoint 3 --> 4,2L,2L:21143227-21145147,FBgn0032919,CG9253,,35379
Timepoint 3 --> 4,2R,2R:1355819-1383341,FBgn0050440,CG30440,,35496
Timepoint 3 --> 4,2R,2R:14344467-14385516,FBgn0028496,CG30116,,37126
Timepoint 3 --> 4,2R,2R:14402081-14412922,FBgn0262476,CG43066,,37129
Timepoint 3 --> 4,2R,2R:14441624-14499260,FBgn0050115,CG30115,,37134
Timepoint 3 --> 4,2R,2R:14504197-14506832,FBgn0034364,CG5493,,37139
Timepoint 3 --> 4,2R,2R:14507961-14512553,FBgn0034366,Atg7,Autophagy-specific gene 7,37141
Timepoint 3 --> 4,2R,2R:14515399-14516784,FBgn0000566,Eip55E,Eip55E,37143
Timepoint 3 --> 4,2R,2R:14519833-14526773,FBgn0050122,CG30122,,37146
Timepoint 3 --> 4,2R,2R:14605634-14642026,FBgn0053147,Hs3st-A,Heparan sulfate 3-O sulfotransferase-A,37161
Timepoint 3 --> 4,2R,2R:14615328-14617763,FBgn0034381,List,Lithium-inducible SLC6 transporter,37157
Timepoint 3 --> 4,2R,2R:14642500-14644588,FBgn0034387,Cyp12b2,Cyp12b2,37163
Timepoint 3 --> 4,2R,2R:14649487-14662174,FBgn0034389,Mctp,Multiple C2 domain and transmembrane region protein,37165
Timepoint 3 --> 4,2R,2R:14670806-14682105,FBgn0034391,CG15080,,37167
Timepoint 3 --> 4,2R,2R:14684769-14691232,FBgn0010651,l(2)08717,lethal (2) 08717,46085
Timepoint 3 --> 4,2R,2R:14695841-14702514,FBgn0034394,CG15096,,37170
Timepoint 3 --> 4,2R,2R:14706972-14709755,FBgn0010551,l(2)03709,lethal (2) 03709,46038
Timepoint 3 --> 4,2R,2R:14765899-14847000,FBgn0034408,sano,serrano,37185
Timepoint 3 --> 4,2R,2R:14856910-14858656,FBgn0014269,prod,proliferation disrupter,37187
Timepoint 3 --> 4,2R,2R:14874846-14896469,FBgn0034412,abba,another B-box affiliate,37190
Timepoint 3 --> 4,2R,2R:14954664-15009463,FBgn0004168,5-HT1A,Serotonin receptor 1A,37196
Timepoint 3 --> 4,2R,2R:15017099-15021223,FBgn0027535,botv,brother of tout-velu,37198
Timepoint 3 --> 4,2R,2R:15024882-15028539,FBgn0034419,CG15111,,37200
Timepoint 3 --> 4,2R,2R:15021222-15031646,FBgn0034418,CG15118,,37199
Timepoint 3 --> 4,2R,2R:15029140-15050124,FBgn0000578,ena,enabled,37201
Timepoint 3 --> 4,2R,2R:15051652-15065728,FBgn0034420,CG10737,,37202
Timepoint 3 --> 4,2R,2R:15066259-15114705,FBgn0263255,hppy,happyhour,37203
Timepoint 3 --> 4,2R,2R:15116570-15131256,FBgn0010434,cora,coracle,37205
Timepoint 3 --> 4,2R,2R:15138532-15139171,FBgn0053454,CG33454,,2768850
Timepoint 3 --> 4,2R,2R:15175488-15176500,FBgn0034428,CG18606,,37212
Timepoint 3 --> 4,2R,2R:15199898-15212994,FBgn0034434,Rgk1,Rgk1,37219
Timepoint 3 --> 4,2R,2R:15399178-15401076,FBgn0034458,Ir56d,Ionotropic receptor 56d,37252
Timepoint 3 --> 4,2R,2R:15545263-15547163,FBgn0034463,CG15125,,37258
Timepoint 3 --> 4,2R,2R:15551422-15557326,FBgn0015949,hrg,hiiragi,49636
Timepoint 3 --> 4,2R,2R:15714410-15720473,FBgn0034476,Toll-7,Toll-7,37272
Timepoint 3 --> 4,2R,2R:1662279-1670360,FBgn0025693,CG11163,,35513
Timepoint 3 --> 4,2R,2R:1692219-1747693,FBgn0085414,dpr12,dpr12,50320
Timepoint 3 --> 4,2R,2R:1781429-1818868,FBgn0263109,CG43366,,35518
Timepoint 3 --> 4,2R,2R:9099837-9102005,FBgn0033807,AQP,aquaporin,36456
Timepoint 3 --> 4,2R,2R:9102238-9103265,FBgn0033808,CG4627,,36457
Timepoint 3 --> 4,3L,3L:10474512-10586503,FBgn0052062,A2bp1,Ataxin-2 binding protein 1,39198
Timepoint 3 --> 4,3L,3L:10624199-10627712,FBgn0054001,CG34001,,3885640
Timepoint 3 --> 4,3L,3L:10624227-10627069,FBgn0001179,hay,haywire,39202
Timepoint 3 --> 4,3L,3L:10974826-11001924,FBgn0013469,klu,klumpfuss,39228
Timepoint 3 --> 4,3L,3L:11067871-11071836,FBgn0036124,CG7839,,39240
Timepoint 3 --> 4,3L,3L:11129149-11156742,FBgn0052082,CG32082,,39258
Timepoint 3 --> 4,3L,3L:12468107-12478054,FBgn0036287,CG10663,,39421
Timepoint 3 --> 4,3L,3L:12491504-12494411,FBgn0036290,CG10638,,39424
Timepoint 3 --> 4,3L,3L:12520314-12523304,FBgn0036298,CG10627,,39434
Timepoint 3 --> 4,3L,3L:12530612-12565622,FBgn0036302,sowah,sosondowah,39438
Timepoint 3 --> 4,3L,3L:12603226-12614908,FBgn0015919,caup,caupolican,39440
Timepoint 3 --> 4,3L,3L:12621036-12641380,FBgn0052111,CG32111,,317859
Timepoint 3 --> 4,3L,3L:12686848-12703243,FBgn0014343,mirr,mirror,39441
Timepoint 3 --> 4,3L,3L:12726459-12727708,FBgn0261933,SmD1,Small ribonucleoprotein particle protein SmD1,44668
Timepoint 3 --> 4,3L,3L:12734905-12738254,FBgn0052112,CG32112,,317860
Timepoint 3 --> 4,3L,3L:12761532-12766669,FBgn0036309,Hip1,Huntingtin interacting protein 1,39450
Timepoint 3 --> 4,3L,3L:12767051-12771816,FBgn0052106,CG32106,,317855
Timepoint 3 --> 4,3L,3L:12774425-12777477,FBgn0036311,CG17666,,39452
Timepoint 3 --> 4,3L,3L:12777529-12798214,FBgn0260945,Atg1,Autophagy-specific gene 1,39454
Timepoint 3 --> 4,3L,3L:12783293-12789184,FBgn0261674,CG42709,,39453
Timepoint 3 --> 4,3L,3L:12843260-12846270,FBgn0036318,CG11009,,39460
